Symbol,Script
LICN,"Life Insurance Corporation (Nepal) Limited"
LLBS,"Laxmi Laghubitta Bittiya Sanstha Ltd."
LSL,"Laxmi Sunrise Bank Limited"
LUBL,"Lumbini Bank Limited"
LUBLPO,"Lumbini Bank Limited Promotor Share"
LUK,"Laxmi Capital Market Limited"
LVF1,"Laxmi Value Fund-1"
LVF2,"Laxmi Value Fund 2"
MAKAR,"Makar Jitumaya Suri Hydropower Limited"
MANDU,"Mandu Hydropower Limited"
MBBL,"Mahakali Bikas Bank Limited"
MBBLPO,"Mahakali Bikas Bank Ltd. Promoter"
MBJC,"Madhya Bhotekoshi Jalavidyut Company Limited"
MBL,"Machhapuchhre Bank Limited"
MBLD2085,"10.25% Machhapuchhre Bank Debenture 2085"
MBLPO,"Machhapuchhre Bank Limited Promotor Share"
MCHL,"Menchhiyam Hydropower Limited"
MDB,"Miteri Development Bank Limited"
MDBL,"Malika Bikas Bank Limited"
MDBLPO,"Malika Development Bank Limited Promoter Share"
MDBPO,"Miteri Development Bank Ltd. Promoter Share"
MEGA,"Mega Bank Nepal Ltd."
MEGAPO,"Mega Bank Nepal Ltd. Promoter Share"
MEHL,"Manakamana Engineering Hydropower Limited"
MEL,"Modi Energy Limited"
MEN,"Mountain Energy Nepal Limited"
MERO,"Mero Microfinance Bittiya Sanstha Ltd."
MEROPO,"Mero Microfinance Bittiya Sanstha Ltd. Promoter Share"
METRO,"Metro Development Bank Limited"
MFIL,"Manjushree Finance Ltd."
MFILPO,"Manjushree Finance Ltd. Promoter Share"
MFL,"Maha Laxmi Finance Ltd."
MFLD85,"9.5% Manjushree Finance Limited Debenture 2085"
MFLPO,"Maha Laxmi Finance Co. Ltd. Promoter Share"
MGBL,"Madhyamanchal Gramin Development Bank Ltd."
MHCL,"Molung Hydropower Company Limited"
MHL,"Mandakini Hydropower Limited"
MHNL,"Mountain Hydro Nepal Limited"
MIDBL,"Mission Development Bank Ltd."
MIDBLP,"Mission Development Bank Ltd. Promoter Share"
MKCL,"Muktinath Krishi Company Limited"
MKDBL,"Manakamana Development Bank Limited"
MKHC,"Maya Khola Hydropower Company Limited"
MKHL,"Mai Khola Hydropower Limited"
MKJC,"Mailung Khola Jal Vidhyut Company Limited"
